Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker,Insider Activity
Huntington Ingalls Industries Inc,Industrials,Aerospace & Defense,USA,NYSE,S&P 500,16.12,13.87,0.87%,39.24M,0.13%,8.78B,13.39,16.70,-0.09%,38.90M,-2.90%,546.00M,1.42,3.24,95.95%,3.64%,28.35%,11.46B,0.77,3.93%,-0.48%,1.98,12.43%,121.64,1.84,15.12%,4.69%,1.42M,-12.69%,4.26,52.56,11.34%,12.27%,158.88,285.81,18.37%,4.55 (2.03%),-,1.03%,7.11%,-21.74%,0.28,5.35 (2.39%),0.99,5.40%,12.81%,40.79%,5.42,"May 30, 2025",1.07,-21.80%,4.20%,49.73,1.09%,1.18%,44000,0.71,-1.04%,4.76%,2.50,233.55,Yes / Yes,0.61,-2.12%,37.61%,1.49,225.60,-1.96%,29.91%,-2.53%,May 01 BMO,715.24K,223.68,-1.94%,3.15%,2.57%,"

","1,057,972",-0.85%,HII,-0.0009
Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,NYSE,"DJIA, S&P 500",17.07,9.00,0.14%,2.41B,0.26%,369.52B,13.83,11.10,-0.57%,2.40B,-1.49%,21.81B,2.89,2.68,73.52%,0.95%,-6.20%,89.33B,4.14,6.33%,0.03%,2.43,-1.02%,32.47,4.73,4.61%,11.93%,22.80M,4.50%,16.12,9.53,5.90%,29.45%,140.68,169.99,6.20%,5.14 (3.35%),18.14,0.55%,18.73%,-9.65%,0.40,5.02 (3.27%),1.03,2.03%,68.24%,9.17%,2.66,"May 27, 2025",1.26,29.21%,23.83%,49.92,0.53%,1.32%,138100,0.67,-0.37%,24.41%,2.20,170.84,Yes / Yes,0.49,238.80%,84.80%,0.72,152.43,1.55%,7.33%,2.39%,Apr 15 BMO,9.39M,153.58,0.34%,-1.17%,-1.94%,"

","6,810,982",0.75%,JNJ,-0.005699999999999999
Alphabet Inc,Communication Services,Internet Content & Information,USA,NASD,"NDX, S&P 500",19.29,8.97,58.22%,5.47B,1.71%,2091.53B,17.03,10.16,-0.01%,5.07B,6.73%,111.00B,1.49,2.16,27.09%,0.72%,1.62%,359.31B,5.82,18.97%,-3.16%,1.41,3.84%,28.41,6.09,6.21%,25.15%,36.57M,-1.91%,7.88,21.94,12.93%,34.79%,142.66,208.70,-9.18%,0.56 (0.32%),27.93,26.76%,30.02%,-17.13%,1.02,0.80 (0.46%),1.77,17.30%,58.54%,21.24%,5.24,"Jun 09, 2025",1.77,37.73%,32.60%,60.33,1.69%,2.46%,183323,0.08,13.02%,30.89%,1.42,199.56,Yes / Yes,0.07,48.77%,7.46%,0.81,173.38,1.15%,38.84%,11.81%,Apr 24 AMC,25.97M,172.96,4.57%,6.99%,0.11%,"

","21,233,590",-0.24%,GOOG,-0.0001
JD.com Inc ADR,Consumer Cyclical,Internet Retail,China,NASD,-,8.04,4.10,0.01%,1.29B,-2.11%,42.61B,6.87,4.79,0.00%,1.29B,0.18%,6.25B,1.06,1.04,22.52%,1.81%,-22.57%,166.20B,0.26,-1.52%,0.18%,1.55,-5.02%,25.35,1.30,12.84%,7.07%,23.44M,8.82%,21.69,1.52,7.60%,19.81%,24.13,47.82,-4.99%,0.90 (2.74%),-,25.28%,14.63%,-31.12%,0.50,1.00 (3.04%),0.90,15.00%,15.88%,36.51%,1.18,"Apr 08, 2025",1.26,91.39%,3.53%,43.20,3.29%,2.82%,570895,0.37,8.13%,3.76%,1.38,51.30,Yes / Yes,0.32,56.29%,26.23%,1.21,31.58,4.11%,18.31%,14.37%,May 13 BMO,15.11M,32.94,-3.05%,-8.77%,-9.79%,"

","18,270,986",4.31%,JD,0.0
Pfizer Inc,Healthcare,Drug Manufacturers - General,USA,NYSE,S&P 500,17.00,1.38,0.18%,5.68B,1.78%,133.32B,7.60,3.09,0.17%,5.67B,-1.43%,7.87B,-,0.57,67.07%,1.89%,-10.15%,62.46B,2.13,-3.48%,-0.19%,2.00,-8.58%,15.89,1.48,2.84%,3.67%,107.38M,-18.80%,3.05,7.70,-0.25%,8.62%,20.92,31.54,-11.61%,1.71 (7.27%),11.88,-13.25%,5.32%,-25.65%,0.53,1.70 (7.25%),0.96,17.19%,66.93%,12.12%,0.57,"May 09, 2025",1.26,2770.58%,27.53%,52.40,1.52%,2.15%,81000,0.69,13.38%,12.59%,2.38,28.11,Yes / Yes,0.64,-5.13%,119.94%,0.48,23.18,-1.47%,38.22%,-7.82%,Apr 29 BMO,53.76M,23.45,1.41%,-0.06%,-10.91%,"

","26,210,104",1.16%,PFE,0.0017000000000000001
TransUnion,Financial,Financial Data & Stock Exchanges,USA,NYSE,-,45.68,1.87,0.76%,195.10M,3.46%,16.64B,17.95,4.75,-1.81%,193.66M,3.46%,367.30M,3.39,0.99,99.96%,2.52%,-6.98%,4.26B,3.91,4.06%,1.22%,2.16,-13.97%,22.48,3.79,16.75%,3.34%,4.87M,11.78%,3.14,27.17,13.47%,8.68%,66.38,113.17,-8.01%,0.46 (0.54%),32.38,-4.38%,3.87%,-24.64%,1.64,0.44 (0.52%),2.05,10.01%,47.04%,28.47%,3.30,"May 22, 2025",2.05,288.03%,20.34%,50.33,2.48%,2.91%,13400,1.18,8.85%,8.63%,1.71,104.56,Yes / Yes,1.16,125.20%,29.05%,0.79,85.96,2.28%,7.38%,7.30%,Apr 24 BMO,2.25M,85.28,-1.88%,3.52%,-8.94%,"

","1,781,031",-0.79%,TRU,-0.0181
"Synopsys, Inc",Technology,Software - Infrastructure,USA,NASD,"NDX, S&P 500",32.77,13.89,0.70%,155.15M,-9.27%,70.60B,27.02,16.84,-4.24%,153.53M,-1.25%,2.17B,2.32,3.85,91.29%,3.19%,0.06%,6.21B,11.36,14.54%,2.58%,3.57,-19.48%,63.91,7.12,11.36%,7.77%,4.89M,-22.54%,91.95,4.95,14.13%,15.82%,365.74,624.80,-6.26%,-,65.04,33.29%,10.56%,-27.18%,1.11,-,6.85,12.88%,76.65%,24.40%,19.88,-,7.02,50.17%,22.71%,40.11,5.39%,2.89%,20000,1.08,0.30%,34.88%,1.33,599.89,Yes / Yes,1.07,19.32%,0.00%,3.26,462.43,0.26%,8.11%,10.12%,May 28 AMC,1.37M,454.99,-7.74%,-0.02%,-8.30%,"

","4,315,286",-1.61%,SNPS,-0.0424
Bristol-Myers Squibb Co,Healthcare,Drug Manufacturers - General,USA,NYSE,S&P 500,17.97,2.66,0.10%,2.04B,1.81%,97.38B,7.88,6.07,0.39%,2.03B,-2.78%,5.42B,0.25,1.68,81.48%,1.82%,-18.62%,47.64B,2.04,497.06%,1.85%,2.51,-18.72%,8.54,5.60,-11.56%,5.66%,37.01M,16.03%,5.79,8.27,72.95%,31.99%,39.35,63.33,-15.40%,2.49 (5.20%),7.44,-,8.35%,-24.44%,0.38,2.44 (5.10%),1.17,15.21%,59.16%,21.60%,1.34,"Apr 04, 2025",1.28,186.41%,22.93%,47.36,0.98%,2.48%,34100,2.95,4.62%,11.38%,2.64,55.79,Yes / Yes,2.73,120.45%,-,0.71,46.97,4.73%,20.43%,-5.60%,Apr 24 BMO,14.76M,47.85,0.96%,-7.12%,-11.66%,"

","10,491,798",1.87%,BMY,0.0039000000000000003
Deere & Co,Industrials,Farm & Heavy Construction Machinery,USA,NYSE,S&P 500,24.36,20.67,7.43%,270.83M,-2.18%,136.64B,22.73,22.15,-0.12%,251.26M,9.29%,5.65B,32.47,4.65,74.47%,1.74%,4.77%,45.57B,3.00,-26.56%,0.32%,3.13,12.72%,89.68,5.61,17.71%,5.33%,4.37M,34.27%,34.13,14.75,0.75%,24.07%,340.20,533.78,18.82%,6.03 (1.20%),31.54,20.35%,8.42%,-5.68%,1.10,6.18 (1.23%),0.52,6.91%,40.63%,47.99%,11.99,"Jun 30, 2025",0.73,-37.83%,22.72%,55.11,0.47%,1.70%,75800,2.74,-22.26%,12.40%,2.40,536.70,Yes / Yes,1.76,-22.17%,22.95%,0.71,507.99,3.55%,19.48%,-16.26%,May 15 BMO,1.40M,503.45,0.38%,5.64%,14.26%,"

","994,227",-0.89%,DE,-0.0012
Automatic Data Processing Inc,Technology,Software - Application,USA,NASD,"NDX, S&P 500",33.18,9.77,0.14%,406.30M,0.46%,131.57B,29.79,10.88,-11.84%,405.38M,9.59%,4.00B,3.78,2.23,82.43%,1.52%,4.12%,20.20B,6.51,8.67%,-0.67%,3.24,6.22%,14.41,22.49,9.07%,6.63%,6.15M,30.22%,6.60,49.08,8.77%,76.29%,231.27,327.99,10.72%,5.88 (1.81%),28.53,11.68%,43.84%,-1.18%,0.80,5.88 (1.81%),1.02,6.30%,50.30%,40.15%,5.12,"Jun 13, 2025",1.02,9.03%,26.25%,69.57,0.85%,0.75%,64000,0.75,6.82%,19.79%,2.79,315.25,Yes / Yes,0.56,6.38%,59.87%,0.48,324.14,1.12%,2.88%,5.69%,Apr 30 BMO,1.90M,324.12,3.27%,6.86%,9.86%,"

","921,705",-0.01%,ADP,-0.1184
Honeywell International Inc,Industrials,Conglomerates,USA,NASD,"DJIA, NDX, S&P 500",25.87,8.71,0.12%,642.68M,1.50%,144.73B,19.82,11.36,-3.61%,641.89M,6.48%,5.69B,3.34,2.64,80.07%,1.18%,6.09%,39.21B,3.69,5.47%,-4.56%,1.64,-1.71%,27.17,8.29,8.93%,8.08%,7.58M,12.77%,15.65,14.39,7.74%,33.56%,179.36,242.77,-0.31%,4.53 (2.01%),28.58,0.69%,12.89%,-7.24%,1.07,4.47 (1.98%),0.95,1.16%,38.25%,25.55%,4.18,"May 16, 2025",1.25,0.81%,20.32%,62.63,1.30%,1.32%,102000,1.95,6.30%,14.51%,2.11,239.11,Yes / Yes,1.53,-0.21%,50.20%,1.47,224.61,2.38%,13.61%,7.88%,Apr 29 BMO,4.62M,225.19,2.71%,7.46%,5.42%,"

","6,740,470",0.26%,HON,-0.0361
Transdigm Group Incorporated,Industrials,Aerospace & Defense,USA,NYSE,S&P 500,49.32,29.62,1.65%,56.22M,3.74%,82.04B,33.74,43.29,-27.12%,55.24M,3.75%,1.72B,3.71,9.84,95.78%,2.31%,8.24%,8.39B,9.78,10.04%,16.72%,4.25,15.90%,-100.86,-,15.73%,7.91%,1.28M,14.21%,43.19,33.82,13.28%,-,1114.14,1488.54,15.26%,-,43.16,13.11%,9.21%,-1.87%,1.05,-,2.12,9.33%,57.57%,31.10%,34.62,"Oct 04, 2024",3.09,17.50%,46.63%,61.51,0.87%,1.84%,16600,-,14.90%,20.50%,1.69,1544.43,Yes / Yes,-,18.25%,0.00%,0.82,1460.52,-0.81%,1.70%,12.20%,May 06 BMO,300.55K,1460.68,2.75%,5.95%,10.21%,"

","247,862",0.01%,TDG,-0.2712
Clorox Co,Consumer Defensive,Household & Personal Products,USA,NYSE,S&P 500,23.52,5.57,0.32%,123.25M,-0.67%,16.14B,19.20,6.82,-1.37%,122.85M,-7.23%,694.00M,4.16,2.20,83.07%,4.10%,-15.15%,7.02B,2.30,14.18%,-7.03%,3.10,-22.63%,0.22,597.96,-3.18%,12.26%,5.04M,-0.41%,1.83,71.44,5.66%,1176.27%,127.60,171.37,-19.35%,4.94 (3.77%),20.16,-18.70%,24.51%,-23.56%,0.53,4.88 (3.73%),0.44,2.83%,45.03%,2.66%,2.76,"Apr 23, 2025",0.74,189.29%,15.47%,38.38,0.44%,1.48%,8000,109.04,-2.64%,9.89%,3.19,143.69,Yes / Yes,103.89,465.21%,214.84%,0.75,130.16,-2.75%,-6.53%,-8.05%,May 05 AMC,1.62M,130.99,-2.78%,-5.87%,-15.02%,"

","1,222,407",0.64%,CLX,-0.0137
Autozone Inc,Consumer Cyclical,Auto Parts,USA,NYSE,S&P 500,24.75,149.09,0.42%,16.75M,-4.72%,61.72B,21.88,168.62,-15.63%,16.66M,-0.41%,2.61B,2.86,51.58,94.92%,1.41%,7.11%,18.67B,3.31,1.52%,-0.42%,1.59,19.04%,-266.18,-,13.65%,14.97%,0.24M,32.11%,19.71,187.20,8.65%,-,2728.97,3916.81,15.23%,-,30.65,18.71%,34.29%,-5.80%,0.40,-,0.13,9.34%,53.13%,35.20%,86.01,-,0.84,7.83%,20.06%,46.18,1.97%,1.42%,126000,-,4.72%,13.96%,1.45,4147.77,Yes / Yes,-,-2.06%,0.00%,0.91,3744.42,1.04%,-4.71%,2.41%,May 27 BMO,148.64K,3689.63,-1.67%,-0.20%,9.94%,"

","135,305",-1.46%,AZO,-0.1563
S&P Global Inc,Financial,Financial Data & Stock Exchanges,USA,NYSE,S&P 500,40.36,12.74,0.14%,313.61M,0.75%,157.67B,27.14,18.95,-5.96%,306.26M,4.54%,3.95B,3.88,4.14,88.93%,0.98%,-2.14%,14.49B,10.88,7.89%,-1.53%,2.19,-0.07%,106.41,4.83,11.85%,6.57%,3.01M,17.31%,4.79,107.33,10.39%,11.68%,419.49,545.39,3.23%,3.81 (0.74%),28.40,7.51%,8.73%,-5.74%,1.20,3.74 (0.73%),0.90,16.56%,61.35%,22.55%,9.37,"May 28, 2025",0.90,42.72%,41.03%,56.02,1.00%,1.03%,42350,0.36,12.98%,27.27%,1.39,584.86,Yes / Yes,0.36,12.24%,29.47%,0.47,511.48,2.13%,4.05%,8.19%,Apr 29 BMO,1.37M,514.10,0.38%,4.04%,1.67%,"

","650,127",0.51%,SPGI,-0.0596
"Ross Stores, Inc",Consumer Cyclical,Apparel Retail,USA,NASD,"NDX, S&P 500",21.96,6.33,2.19%,328.83M,-9.01%,45.68B,20.50,6.78,-0.62%,321.64M,-1.31%,2.08B,4.14,1.55,91.38%,1.59%,0.66%,21.26B,2.15,-1.84%,-0.76%,1.41,-4.90%,16.75,8.29,9.25%,14.46%,5.11M,-2.25%,11.56,12.02,5.30%,39.57%,122.36,163.60,-8.16%,1.63 (1.18%),28.44,6.55%,22.17%,-15.08%,1.15,1.51 (1.09%),0.95,8.12%,27.78%,13.54%,4.62,"Jun 10, 2025",1.55,6.60%,12.24%,42.11,5.67%,2.79%,107000,0.90,2.49%,9.79%,1.83,153.33,Yes / Yes,0.68,0.53%,23.27%,1.09,139.70,0.50%,1.83%,2.61%,May 22 AMC,3.61M,138.93,-4.71%,0.30%,-3.74%,"

","3,913,724",-0.55%,ROST,-0.0062
Sysco Corp,Consumer Defensive,Food Distribution,USA,NYSE,S&P 500,18.64,3.87,0.30%,484.75M,-0.22%,34.94B,15.47,4.66,-5.01%,483.27M,2.61%,1.91B,3.22,1.39,88.99%,3.30%,-3.55%,80.79B,0.43,1.48%,-1.18%,4.77,-4.91%,3.96,18.18,6.54%,7.48%,15.95M,-1.21%,3.15,22.88,5.79%,94.91%,67.12,82.23,-5.74%,2.06 (2.86%),16.64,3.96%,12.59%,-12.36%,0.81,2.04 (2.83%),0.76,6.65%,18.23%,7.37%,1.35,"Jul 03, 2025",1.26,-5.79%,4.23%,51.25,1.08%,1.18%,76000,7.60,3.55%,2.36%,2.05,79.86,Yes / Yes,6.89,-3.14%,51.73%,0.77,71.51,-2.20%,-6.13%,1.13%,Apr 29 BMO,3.34M,72.07,0.70%,0.41%,-3.43%,"

","2,588,946",0.78%,SYY,-0.0501
JPMorgan Chase & Co,Financial,Banks - Diversified,USA,NYSE,"DJIA, S&P 500",12.98,20.37,0.38%,2.78B,1.28%,734.71B,13.48,19.61,-10.53%,2.77B,8.07%,58.24B,2.51,4.43,73.85%,1.10%,2.05%,284.94B,2.58,1.67%,0.90%,2.68,6.36%,119.24,2.22,5.85%,1.41%,30.54M,31.72%,-,-,5.16%,17.25%,190.88,280.25,10.29%,5.69 (2.15%),27.24,12.99%,7.35%,-5.67%,1.08,5.05 (1.91%),-,16.83%,-,38.50%,5.47,"Jul 03, 2025",1.21,23.05%,28.48%,62.47,1.02%,1.15%,317233,2.96,12.41%,20.44%,2.07,272.23,Yes / Yes,1.25,14.09%,24.30%,0.44,263.49,2.99%,9.43%,3.37%,Apr 11 BMO,11.40M,264.37,1.94%,7.41%,10.71%,"

","5,081,992",0.33%,JPM,-0.10529999999999999
State Street Corp,Financial,Asset Management,USA,NYSE,S&P 500,10.90,8.90,0.61%,288.68M,1.58%,27.67B,9.30,10.44,-3.83%,283.44M,9.61%,2.66B,1.05,2.39,92.40%,1.47%,-0.49%,21.32B,1.30,8.83%,0.27%,1.88,-0.47%,80.13,1.21,10.22%,0.81%,4.16M,28.72%,-,-,10.37%,11.21%,70.20,103.00,-1.13%,3.13 (3.22%),11.92,8.85%,5.17%,-5.79%,1.47,2.97 (3.06%),-,12.41%,-,38.23%,2.20,"Jul 01, 2025",3.80,66.71%,17.01%,63.67,0.86%,1.17%,52626,1.51,15.02%,12.49%,2.06,104.64,Yes / Yes,0.93,49.27%,35.30%,0.56,96.85,-1.10%,1.97%,2.90%,Apr 17 BMO,2.22M,97.04,1.97%,8.66%,5.50%,"

","1,389,717",0.20%,STT,-0.0383
Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,NYSE,S&P 500,20.69,4.51,0.14%,197.90M,0.65%,18.47B,11.24,8.30,-0.52%,197.57M,-9.19%,913.30M,5.01,1.98,95.02%,3.01%,-10.29%,7.70B,2.40,-0.42%,0.76%,2.54,-15.31%,62.63,1.49,4.20%,4.19%,5.95M,-19.82%,7.00,13.34,4.13%,7.31%,89.92,116.86,-11.63%,0.89 (0.95%),14.86,-4.13%,4.81%,-20.13%,0.73,0.96 (1.03%),1.46,-0.55%,62.31%,3.80%,2.65,"Mar 31, 2025",2.44,-2.39%,18.72%,41.75,1.70%,3.21%,17000,0.58,3.30%,11.86%,2.47,106.80,Yes / Yes,0.53,9.01%,21.66%,0.70,92.29,0.73%,2.22%,1.05%,May 05 BMO,2.34M,93.34,-1.96%,-7.91%,-11.84%,"

","1,650,464",1.14%,ZBH,-0.0052
RELX Plc ADR,Industrials,Specialty Business Services,United Kingdom,NYSE,-,40.96,1.32,0.00%,1.86B,-2.12%,99.08B,27.98,1.93,-,1.84B,0.26%,2.47B,3.49,0.83,4.42%,0.09%,13.27%,12.06B,8.22,15.47%,-0.93%,2.07,15.36%,2.35,22.96,10.99%,13.01%,1.63M,20.68%,0.08,664.77,11.74%,56.34%,43.28,56.33,18.74%,0.89 (1.65%),29.24,6.04%,22.91%,-4.26%,0.84,0.80 (1.48%),0.47,3.95%,62.28%,24.61%,0.90,"May 09, 2025",0.52,13.13%,30.60%,50.97,1.34%,1.36%,36400,1.88,5.86%,20.49%,2.00,59.45,Yes / Yes,1.47,9.34%,60.24%,1.40,55.05,-,-,5.91%,Feb 13 BMO,789.05K,53.93,-0.86%,3.39%,10.83%,"

","1,096,618",-2.03%,RELX,
Guidewire Software Inc,Technology,Software - Application,USA,NYSE,-,-,-0.21,0.78%,83.88M,0.23%,17.73B,79.27,2.67,-11.93%,83.23M,3.11%,-16.86M,-,0.46,103.60%,4.63%,6.33%,1.08B,16.34,46.18%,3.81%,4.53,4.19%,15.13,13.97,35.09%,-0.74%,3.85M,74.76%,13.95,15.15,38.47%,-1.34%,107.65,219.59,25.35%,-,86.47,-,-0.85%,-3.77%,1.15,-,2.62,6.47%,61.43%,96.30%,5.03,-,2.62,67.81%,0.01%,57.15,0.80%,0.94%,3469,0.70,17.16%,-1.55%,2.00,220.33,Yes / Yes,0.56,-482.89%,-,0.85,208.74,1.39%,-1.37%,20.17%,Jun 03 AMC,850.77K,211.32,-0.33%,5.91%,12.88%,"

","729,737",1.24%,GWRE,-0.1193
Merck & Co Inc,Healthcare,Drug Manufacturers - General,USA,NYSE,"DJIA, S&P 500",11.12,6.87,0.07%,2.52B,-0.75%,191.84B,7.86,9.72,-0.19%,2.51B,-9.81%,17.43B,0.95,2.06,80.25%,1.64%,-15.65%,63.78B,3.01,16.40%,-0.49%,2.50,-22.97%,19.21,3.98,9.16%,15.78%,41.27M,-41.00%,3.72,20.56,11.66%,39.31%,73.31,134.63,-23.20%,3.14 (4.11%),11.26,12.04%,21.31%,-43.25%,0.40,3.16 (4.14%),1.16,7.14%,74.68%,4.21%,2.20,"Jun 16, 2025",1.41,654.93%,34.71%,42.74,0.96%,2.51%,75000,0.72,4.40%,27.33%,1.88,102.10,Yes / Yes,0.69,7.20%,46.32%,0.65,76.17,1.24%,4.09%,-1.20%,Apr 24 BMO,16.48M,76.40,-2.06%,-6.39%,-21.71%,"

","10,787,284",0.30%,MRK,-0.0019
Howmet Aerospace Inc,Industrials,Aerospace & Defense,USA,NYSE,S&P 500,55.46,3.07,1.01%,404.00M,4.50%,68.66B,41.12,4.14,-17.05%,399.59M,23.70%,1.25B,2.53,0.87,94.33%,2.90%,27.48%,7.55B,9.10,29.73%,0.59%,3.82,43.61%,11.73,14.51,18.53%,11.86%,11.59M,100.77%,1.33,127.86,21.92%,28.29%,76.83,171.51,55.52%,0.41 (0.24%),67.58,22.24%,15.24%,-0.83%,1.44,0.36 (0.21%),1.07,2.34%,28.64%,121.38%,4.31,"May 09, 2025",2.30,47.87%,23.68%,77.74,1.26%,1.78%,23930,0.73,10.01%,16.61%,1.61,169.36,Yes / Yes,0.72,43.48%,9.25%,1.09,170.32,0.04%,10.85%,6.47%,May 01 BMO,3.03M,170.09,5.80%,20.20%,42.53%,"

","3,286,005",-0.14%,HWM,-0.1705
Motorola Solutions Inc,Technology,Communication Equipment,USA,NYSE,S&P 500,34.91,11.99,0.45%,166.90M,-1.88%,69.84B,26.32,15.90,-0.17%,166.16M,-3.98%,2.05B,4.53,3.36,87.86%,1.25%,-2.59%,10.96B,6.37,6.29%,-0.77%,2.26,-16.46%,9.83,42.56,8.07%,14.73%,2.08M,14.76%,9.37,44.66,7.71%,189.18%,356.77,507.82,-9.48%,4.05 (0.97%),30.75,13.31%,26.47%,-17.60%,0.97,4.14 (0.99%),1.02,6.73%,50.16%,17.28%,8.70,"Jun 13, 2025",1.18,46.78%,25.30%,47.72,0.50%,2.01%,21000,3.98,7.45%,18.67%,1.79,503.14,Yes / Yes,3.71,1179.91%,43.65%,0.94,420.83,0.50%,5.63%,5.82%,May 01 AMC,921.12K,418.43,0.08%,-0.88%,-6.61%,"

","864,532",-0.57%,MSI,-0.0017000000000000001
Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,NYSE,S&P 500,79.15,2.35,0.09%,1.77B,2.10%,327.88B,13.26,13.99,-15.01%,1.76B,-4.08%,4.16B,5.20,3.22,74.12%,1.13%,-9.46%,57.37B,5.72,20.82%,0.31%,2.51,4.90%,0.80,230.88,14.45%,2.92%,19.93M,18.18%,2.93,63.35,15.22%,88.15%,153.58,218.66,4.46%,6.51 (3.51%),21.31,-14.67%,6.30%,-15.11%,0.49,6.38 (3.44%),0.64,12.19%,70.80%,20.86%,5.10,"Apr 15, 2025",0.76,-30.21%,30.74%,49.67,1.31%,2.20%,55000,49.22,5.45%,7.24%,1.90,213.83,Yes / Yes,45.44,-6.05%,263.15%,0.62,183.09,3.22%,3.39%,8.39%,Apr 25 BMO,7.95M,185.62,-0.39%,-1.80%,-1.88%,"

","4,926,034",1.38%,ABBV,-0.1501
Nordson Corp,Industrials,Specialty Industrial Machinery,USA,NASD,S&P 500,26.88,7.77,9.30%,56.91M,6.36%,11.89B,19.18,10.90,-0.04%,51.62M,10.71%,446.55M,4.07,2.62,76.64%,2.79%,-0.25%,2.70B,4.40,2.92%,1.25%,3.86,-20.02%,50.55,4.13,8.83%,7.95%,1.44M,-12.18%,2.29,91.37,6.60%,15.54%,165.03,266.86,-0.13%,3.15 (1.51%),25.88,6.97%,8.79%,-21.69%,0.89,3.02 (1.45%),1.64,4.30%,54.78%,26.63%,5.97,"Mar 20, 2025",2.56,-7.66%,24.24%,63.31,3.69%,2.30%,8000,0.75,1.98%,16.51%,1.90,248.88,Yes / Yes,0.72,-3.88%,34.77%,2.49,195.74,1.64%,2.59%,4.96%,May 28 AMC,373.44K,208.97,5.89%,8.03%,-7.36%,"

","908,550",6.76%,NDSN,-0.0004
"Illinois Tool Works, Inc",Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,21.63,11.36,0.36%,293.00M,0.44%,72.00B,22.34,11.00,-18.08%,291.94M,1.65%,3.37B,720.99,2.55,83.94%,2.59%,-5.90%,15.76B,4.57,-12.53%,-0.95%,6.01,-10.30%,11.06,22.22,7.40%,21.65%,7.57M,2.36%,2.98,82.47,0.03%,107.62%,214.66,279.13,-3.09%,6.03 (2.45%),25.30,8.63%,32.02%,-11.97%,1.12,5.90 (2.40%),1.16,2.82%,43.09%,14.47%,5.00,"Jun 30, 2025",1.60,12.04%,25.93%,51.95,1.55%,1.29%,44000,2.55,-1.85%,21.37%,3.09,250.62,Yes / Yes,2.25,-12.93%,49.52%,0.56,243.83,-0.10%,1.67%,-3.37%,Apr 30 BMO,1.26M,245.73,0.27%,1.50%,-3.56%,"

","714,545",0.78%,ITW,-0.1808
Descartes Systems Group Inc,Technology,Software - Application,Canada,NASD,-,69.29,1.64,0.41%,85.61M,0.19%,9.71B,50.36,2.26,0.00%,85.04M,7.30%,143.27M,4.61,0.44,80.39%,1.26%,3.09%,651.00M,14.91,16.93%,-2.48%,3.34,-2.07%,16.18,7.03,17.70%,9.18%,1.07M,13.42%,2.77,41.11,15.02%,10.92%,89.00,124.31,0.07%,-,47.09,29.35%,10.31%,-8.55%,0.86,-,1.62,14.96%,64.98%,27.73%,2.49,-,1.62,23.07%,27.86%,58.98,1.68%,1.58%,-,0.01,13.63%,22.01%,1.80,122.73,Yes / Yes,0.00,16.49%,0.00%,0.77,114.40,-1.47%,0.47%,12.98%,Jun 04 AMC,320.07K,113.68,1.91%,7.50%,5.11%,"

","247,272",-0.63%,DSGX,0.0
Salesforce Inc,Technology,Software - Application,USA,NYSE,"DJIA, S&P 500",41.75,6.39,2.59%,958.00M,-5.44%,256.10B,21.08,12.66,-6.23%,934.59M,-0.31%,6.21B,3.35,2.78,82.77%,1.43%,-9.49%,38.59B,6.64,10.75%,-0.07%,1.88,-21.96%,63.33,4.22,12.09%,6.37%,13.38M,-1.97%,18.14,14.71,12.47%,10.31%,212.00,369.00,-20.16%,0.83 (0.31%),20.25,112.11%,8.64%,-27.66%,1.38,1.62 (0.61%),0.99,17.44%,70.84%,25.91%,8.14,"Apr 10, 2025",0.99,14.85%,20.54%,41.21,2.47%,1.88%,76453,0.20,7.97%,16.08%,1.55,355.04,Yes / Yes,0.18,2.08%,25.15%,4.14,276.03,0.75%,1.22%,7.62%,May 28 AMC,7.11M,266.92,-4.83%,-1.09%,-9.72%,"

","28,074,954",-3.30%,CRM,-0.0623
